"currency","id","country","category_id","price_ticket_amount","purchased_at","quantity_sold"
"USD",11188786,"US",NULL,5.00,"2018-01-25 22:57:11",1
"AUD",22858410,"AU",NULL,210.98,"2018-01-25 22:57:09",2
"USD",4430077,"US",1005,0.00,"2018-01-25 22:57:09",2
"USD",18963943,"PH",8026,0.00,"2018-01-25 22:57:08",1
"USD",22480977,"US",101,0.00,"2018-01-25 22:57:04",1
"USD",22480977,"US",101,6.09,"2018-01-25 22:57:04",1
"USD",22480977,"US",101,6.09,"2018-01-25 22:57:04",1
"USD",22480977,"US",101,31.59,"2018-01-25 22:57:04",1
"USD",15593887,"US",1010,25.03,"2018-01-25 22:57:01",1
"USD",22030072,"CA",101,0.00,"2018-01-25 22:56:57",1
"GBP",17627437,"GB",111,5.23,"2018-01-25 22:56:53",1
"GBP",17627437,"GB",111,104.50,"2018-01-25 22:56:53",2
"GBP",17627437,"GB",111,0.00,"2018-01-25 22:56:53",1
"USD",18879430,"US",199,0.00,"2018-01-25 22:56:53",1
"USD",20180215,"US",101,0.00,"2018-01-25 22:56:53",1
"USD",5073129,"US",1001,0.00,"2018-01-25 22:56:47",4
"USD",22123558,"US",1001,22.00,"2018-01-25 22:56:46",1
"USD",21718699,"US",109,0.00,"2018-01-25 22:56:45",1
"USD",18130128,"US",8020,17.89,"2018-01-25 22:56:45",1
"USD",22770567,"US",NULL,33.72,"2018-01-25 22:56:43",1
"HKD",22034377,"HK",7001,0.00,"2018-01-25 22:56:40",1
"USD",21308389,"CZ",1007,0.00,"2018-01-25 22:56:40",1
"EUR",17484766,"DE",1007,21.90,"2018-01-25 22:56:35",1
"GBP",15858582,"GB",108,7.50,"2018-01-25 22:56:26",1
"USD",22982771,"US",111,105.98,"2018-01-25 22:56:25",1
"USD",22470576,"US",109,27.03,"2018-01-25 22:56:24",1
"USD",22174481,"US",8017,53.24,"2018-01-25 22:56:20",1
"USD",21826173,"US",103,0.00,"2018-01-25 22:56:20",1
"USD",21308389,"CZ",1007,0.00,"2018-01-25 22:56:10",1
"USD",21308389,"CZ",1007,0.00,"2018-01-25 22:56:09",1
"USD",21426659,"US",NULL,0.00,"2018-01-25 22:56:09",1
"USD",21119847,"US",NULL,0.00,"2018-01-25 22:56:06",1
"USD",10868470,"US",108,0.00,"2018-01-25 22:56:06",1
"GBP",22304295,"GB",103,566.04,"2018-01-25 22:56:02",1
"USD",17253222,"US",108,19.10,"2018-01-25 22:56:02",1
"HKD",21022586,"HK",199,0.00,"2018-01-25 22:56:01",1
"GBP",16699361,"GB",107,40.00,"2018-01-25 22:56:00",1
"USD",20931152,"US",19008,50.14,"2018-01-25 22:55:56",2
"USD",21988303,"US",NULL,0.00,"2018-01-25 22:55:55",1
"EUR",22895089,"FR",NULL,0.00,"2018-01-25 22:55:53",2
"AUD",20653857,"AU",108,160.56,"2018-01-25 22:55:53",1
"EUR",17484766,"DE",1007,21.90,"2018-01-25 22:55:52",1
"EUR",22967662,"GR",199,0.00,"2018-01-25 22:55:51",1
"GBP",22954492,"GB",NULL,0.00,"2018-01-25 22:55:50",1
"USD",5073129,"US",1001,0.00,"2018-01-25 22:55:45",4
"MXN",19982153,"MX",105,0.00,"2018-01-25 22:55:44",1
"USD",22030933,"US",NULL,0.00,"2018-01-25 22:55:41",2
"EUR",22367818,"NL",101,4.49,"2018-01-25 22:55:39",1
"EUR",22367818,"NL",101,4.49,"2018-01-25 22:55:39",1
"EUR",22367818,"NL",101,4.49,"2018-01-25 22:55:39",1
"EUR",22367818,"NL",101,4.49,"2018-01-25 22:55:39",1
"EUR",22367818,"NL",101,10.70,"2018-01-25 22:55:39",1
"USD",21121269,"US",NULL,0.00,"2018-01-25 22:55:28",1
"GBP",16719950,"GB",1007,0.00,"2018-01-25 22:55:27",1
"GBP",16719950,"GB",1007,0.00,"2018-01-25 22:55:27",1
"USD",11823490,"US",107,13.65,"2018-01-25 22:55:27",1
